países;quantidade;valor;ano;opcao
Suécia;-;-;1972;Uvas passas
Turquia;556.402;169.087;1972;Uvas passas
Uruguai;-;-;1972;Uvas passas
Uzbequistão;-;-;1972;Uvas passas
Venezuela;-;-;1972;Uvas passas
Não consta na tabela;-;-;1972;Uvas passas
Outros;-;-;1972;Uvas passas
Total;2.755.426;1.999.823;1972;Uvas passas
Africa do Sul;-;-;1972;Suco de uva
Alemanha;-;-;1972;Suco de uva
Argentina;-;-;1972;Suco de uva
Austria;-;-;1972;Suco de uva
Canadá;-;-;1972;Suco de uva
Coreia do Sul, República;-;-;1972;Suco de uva
Coreia do Norte, República;-;-;1972;Suco de uva
Chile;-;-;1972;Suco de uva
China;-;-;1972;Suco de uva
Dinamarca;20;8;1972;Suco de uva
Espanha;-;-;1972;Suco de uva
Estados Unidos;-;-;1972;Suco de uva
França;36;32;1972;Suco de uva
Guiana;-;-;1972;Suco de uva
Israel;-;-;1972;Suco de uva
itália;-;-;1972;Suco de uva
Japão;-;-;1972;Suco de uva
Líbano;-;-;1972;Suco de uva
México;-;-;1972;Suco de uva
Países Baixos;-;-;1972;Suco de uva
Panamá;-;-;1972;Suco de uva
Peru;-;-;1972;Suco de uva
Portugal;125;82;1972;Suco de uva
Reino Unido;458;189;1972;Suco de uva
Taiwan;-;-;1972;Suco de uva
Turquia;-;-;1972;Suco de uva
Uruguai;-;-;1972;Suco de uva
Venezuela;-;-;1972;Suco de uva
Outros;-;-;1972;Suco de uva
Total;639;311;1972;Suco de uva
Africa do Sul;-;-;1973;Vinhos de mesa
Alemanha;111.523;98.638;1973;Vinhos de mesa
Argélia;-;-;1973;Vinhos de mesa
Arábia Saudita;-;-;1973;Vinhos de mesa
Argentina;116.887;76.121;1973;Vinhos de mesa
Armênia;-;-;1973;Vinhos de mesa
Austrália;-;-;1973;Vinhos de mesa
Áustria;2.310;2.081;1973;Vinhos de mesa
Bermudas;-;-;1973;Vinhos de mesa
Bélgica;-;-;1973;Vinhos de mesa
Bolívia;-;-;1973;Vinhos de mesa
Bósnia-Herzegovina;-;-;1973;Vinhos de mesa
Brasil;-;-;1973;Vinhos de mesa
Bulgária;-;-;1973;Vinhos de mesa
Canada;-;-;1973;Vinhos de mesa
Chile;301.559;212.140;1973;Vinhos de mesa
China;-;-;1973;Vinhos de mesa
Coreia do Sul, República;-;-;1973;Vinhos de mesa
Croácia;-;-;1973;Vinhos de mesa
Cuba;-;-;1973;Vinhos de mesa
Emirados Árabes Unidos;-;-;1973;Vinhos de mesa
Eslovênia;-;-;1973;Vinhos de mesa
Eslováquia;-;-;1973;Vinhos de mesa
Espanha;226.805;117.135;1973;Vinhos de mesa
Estados Unidos;-;-;1973;Vinhos de mesa
França;259.060;435.641;1973;Vinhos de mesa
